#Number of Samples: 5
#Total Number of Reads: 1275830
#S1	flua.kraken2_kreport.txt
#S2	sample2.kraken2_kreport.txt
#S3	measle.kraken2_kreport.txt
#S4	flub.kraken2_kreport.txt
#S5	sample1.kraken2_kreport.txt
#perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	lvl_type	taxid	name
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S1	525381	                    Streptococcus pneumoniae TCH8431/19A
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	170187	                    Streptococcus pneumoniae TIGR4
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	487213	                    Streptococcus pneumoniae Taiwan19F-14
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	488222	                    Streptococcus pneumoniae JJA
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	869215	                    Streptococcus pneumoniae OXC141
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	1130804	                    Streptococcus pneumoniae ST556
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	171101	                    Streptococcus pneumoniae R6
0.0553	705	1	0	0	5	0	0	0	0	0	700	1	G1	119603	                  Streptococcus dysgalactiae group
0.0529	675	491	0	0	0	0	0	0	0	0	675	491	S	1334	                    Streptococcus dysgalactiae
0.0139	177	128	0	0	0	0	0	0	0	0	177	128	S1	119602	                      Streptococcus dysgalactiae subsp. equisimilis
0.0038	48	48	0	0	0	0	0	0	0	0	48	48	S2	486410	                        Streptococcus dysgalactiae subsp. equisimilis GGS_124
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S2	617121	                        Streptococcus dysgalactiae subsp. equisimilis RE378
0.0005	7	7	0	0	0	0	0	0	0	0	7	7	S1	99822	                      Streptococcus dysgalactiae subsp. dysgalactiae
0.0023	29	19	0	0	5	2	0	0	0	0	24	17	S	1336	                    Streptococcus equi
0.0007	9	9	0	0	3	3	0	0	0	0	6	6	S1	40041	                      Streptococcus equi subsp. zooepidemicus
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S1	148942	                      Streptococcus equi subsp. equi
0.0374	477	38	0	0	474	38	0	0	0	0	3	0	G1	3409772	                  Streptococcus mitis group
0.0269	343	328	0	0	341	326	0	0	0	0	2	2	S	28037	                    Streptococcus mitis
0.0012	15	15	0	0	15	15	0	0	0	0	0	0	S1	365659	                      Streptococcus mitis B6
0.0068	87	87	0	0	87	87	0	0	0	0	0	0	S	1433513	                    Streptococcus gwangjuensis
0.0007	9	9	0	0	8	8	0	0	0	0	1	1	S	2819619	                    Streptococcus toyakuensis
0.0159	203	203	0	0	5	5	0	0	0	0	198	198	S	1329	                  Streptococcus canis
0.0140	179	13	0	0	146	11	0	0	0	0	33	2	G1	2608887	                  unclassified Streptococcus
0.0021	27	27	0	0	27	27	0	0	0	0	0	0	S	2598453	                    Streptococcus sp. 116-D4
0.0014	18	18	0	0	18	18	0	0	0	0	0	0	S	1902136	                    Streptococcus sp. NPS 308
0.0013	17	17	0	0	17	17	0	0	0	0	0	0	S	3077584	                    Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006
0.0013	16	16	0	0	16	16	0	0	0	0	0	0	S	3157334	                    Streptococcus sp. KHUD_011
0.0012	15	15	0	0	1	1	0	0	0	0	14	14	S	2975349	                    Streptococcus sp. FSL W8-0197
0.0009	11	11	0	0	11	11	0	0	0	0	0	0	S	3074854	                    Streptococcus sp. SN-1
0.0006	8	8	0	0	0	0	0	0	0	0	8	8	S	2420308	                    Streptococcus sp. FDAARGOS_520
0.0006	8	8	0	0	8	8	0	0	0	0	0	0	S	712623	                    Streptococcus sp. oral taxon 061
0.0005	7	7	0	0	7	7	0	0	0	0	0	0	S	2759692	                    Streptococcus sp. Marseille-Q3533
0.0005	6	6	0	0	3	3	0	0	0	0	3	3	S	3231906	                    Streptococcus sp. ZY19097
0.0004	5	5	0	0	5	5	0	0	0	0	0	0	S	3038077	                    Streptococcus sp. D7B5
0.0004	5	5	0	0	5	5	0	0	0	0	0	0	S	3402868	                    Streptococcus sp. K0074
0.0003	4	4	0	0	2	2	0	0	0	0	2	2	S	3366265	                    Streptococcus sp. ZJ 1593
0.0003	4	4	0	0	4	4	0	0	0	0	0	0	S	712633	                    Streptococcus sp. oral taxon 431
0.0002	3	3	0	0	1	1	0	0	0	0	2	2	S	1316412	                    Streptococcus sp. HSISS3
0.0002	3	3	0	0	3	3	0	0	0	0	0	0	S	3077723	                    Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A
0.0002	3	3	0	0	3	3	0	0	0	0	0	0	S	2576376	                    Streptococcus sp. 1643
0.0002	2	2	0	0	1	1	0	0	0	0	1	1	S	1759399	                    Streptococcus sp. A12
0.0002	2	2	0	0	2	2	0	0	0	0	0	0	S	1316411	                    Streptococcus sp. HSISS2
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	3233335	                    Streptococcus sp. ZY1909104
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	3238303	                    Streptococcus sp. CP1998
0.0112	143	136	0	0	0	0	0	0	0	0	143	136	S	1311	                  Streptococcus agalactiae
0.0005	7	7	0	0	0	0	0	0	0	0	7	7	S1	1309807	                    Streptococcus agalactiae ILRI005
0.0112	143	110	0	0	118	108	0	0	0	0	25	2	S	1303	                  Streptococcus oralis
0.0019	24	24	0	0	2	2	0	0	0	0	22	22	S1	1077464	                    Streptococcus oralis subsp. tigurinus
0.0004	5	5	0	0	5	5	0	0	0	0	0	0	S1	1891914	                    Streptococcus oralis subsp. oralis
0.0002	2	2	0	0	1	1	0	0	0	0	1	1	S1	1458253	                    Streptococcus oralis subsp. dentisani
0.0002	2	2	0	0	2	2	0	0	0	0	0	0	S1	927666	                    Streptococcus oralis Uo5
0.0054	69	69	0	0	1	1	0	0	0	0	68	68	S	1346	                  Streptococcus iniae
0.0031	39	39	0	0	0	0	0	0	0	0	39	39	S	102886	                  Streptococcus didelphis
0.0030	38	0	0	0	38	0	0	0	0	0	0	0	S	257758	                  Streptococcus pseudopneumoniae
0.0030	38	38	0	0	38	38	0	0	0	0	0	0	S1	1054460	                    Streptococcus pseudopneumoniae IS7493
0.0026	33	0	0	0	33	0	0	0	0	0	0	0	G1	3409759	                  Streptococcus thalassemiae group
0.0026	33	33	0	0	33	33	0	0	0	0	0	0	S	2993430	                    Streptococcus parapneumoniae
0.0020	25	25	0	0	16	16	0	0	0	0	9	9	S	1307	                  Streptococcus suis
0.0016	21	19	0	0	17	15	0	0	0	0	4	4	S	1308	                  Streptococcus thermophilus
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	1436725	                    Streptococcus thermophilus TH1477
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	1433289	                    Streptococcus thermophilus M17PTZA496
0.0009	11	0	0	0	9	0	0	0	0	0	2	0	G1	671232	                  Streptococcus anginosus group
0.0004	5	5	0	0	4	4	0	0	0	0	1	1	S	1328	                    Streptococcus anginosus
0.0004	5	4	0	0	5	4	0	0	0	0	0	0	S	1338	                    Streptococcus intermedius
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	862966	                      Streptococcus intermedius C270
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	76860	                    Streptococcus constellatus
0.0007	9	9	0	0	4	4	0	0	0	0	5	5	S	361101	                  Streptococcus pseudoporcinus
0.0007	9	4	0	0	8	3	0	0	0	0	1	1	S	1305	                  Streptococcus sanguinis
0.0004	5	5	0	0	5	5	0	0	0	0	0	0	S1	388919	                    Streptococcus sanguinis SK36
0.0005	7	7	0	0	5	5	0	0	0	0	2	2	S	1302	                  Streptococcus gordonii
0.0005	7	4	0	0	6	4	0	0	0	0	1	0	S	1318	                  Streptococcus parasanguinis
0.0002	2	2	0	0	2	2	0	0	0	0	0	0	S1	760570	                    Streptococcus parasanguinis ATCC 15912
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S1	1114965	                    Streptococcus parasanguinis FW213
0.0005	6	6	0	0	0	0	0	0	0	0	6	6	S	82348	                  Streptococcus pluranimalium
0.0005	6	6	0	0	2	2	0	0	0	0	4	4	S	254785	                  Streptococcus halichoeri
0.0005	6	6	0	0	5	5	0	0	0	0	1	1	S	2021971	                  Streptococcus respiraculi
0.0004	5	5	0	0	1	1	0	0	0	0	4	4	S	1825069	                  Streptococcus marmotae
0.0004	5	5	0	0	2	2	0	0	0	0	3	3	S	1326	                  Streptococcus acidominimus
0.0004	5	4	0	0	4	3	0	0	0	0	1	1	S	45634	                  Streptococcus cristatus
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	889201	                    Streptococcus cristatus ATCC 51100
0.0003	4	4	0	0	0	0	0	0	0	0	4	4	S	1349	                  Streptococcus uberis
0.0003	4	4	0	0	0	0	0	0	0	0	4	4	S	1156431	                  Streptococcus ilei
0.0003	4	4	0	0	1	1	0	0	0	0	3	3	S	1335	                  Streptococcus equinus
0.0003	4	4	0	0	2	2	0	0	0	0	2	2	S	1888195	                  Streptococcus himalayensis
0.0003	4	4	0	0	2	2	0	0	0	0	2	2	S	1348	                  Streptococcus parauberis
0.0003	4	4	0	0	4	4	0	0	0	0	0	0	S	68892	                  Streptococcus infantis
0.0002	3	3	0	0	0	0	0	0	0	0	3	3	S	1340	                  Streptococcus porcinus
0.0002	3	3	0	0	0	0	0	0	0	0	3	3	S	1345	                  Streptococcus ferus
0.0002	3	2	0	0	1	1	0	0	0	0	2	1	S	3028084	                  Streptococcus iners
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S1	3028083	                    Streptococcus iners subsp. hyiners
0.0002	3	3	0	0	3	3	0	0	0	0	0	0	S	1304	                  Streptococcus salivarius
0.0002	3	3	0	0	3	3	0	0	0	0	0	0	S	3140788	                  Streptococcus nidrosiense
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	S	1814128	                  Streptococcus halotolerans
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	S	1501662	                  Streptococcus parasuis
0.0002	2	2	0	0	1	1	0	0	0	0	1	1	S	1341	                  Streptococcus ratti
0.0002	2	2	0	0	1	1	0	0	0	0	1	1	S	2173853	                  Streptococcus chenjunshii
0.0002	2	2	0	0	1	1	0	0	0	0	1	1	S	684066	                  Streptococcus lactarius
0.0002	2	2	0	0	1	1	0	0	0	0	1	1	S	1811193	                  Streptococcus pantholopis
0.0002	2	2	0	0	2	2	0	0	0	0	0	0	S	113107	                  Streptococcus australis
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	149016	                  Streptococcus urinalis
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	29389	                  Streptococcus alactolyticus
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	197614	                  Streptococcus pasteurianus
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	1309	                  Streptococcus mutans
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	3028082	                  Streptococcus suivaginalis
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	2686210	                  Streptococcus ruminicola
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	33040	                  Streptococcus milleri
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	2664091	                  Streptococcus zhangguiae
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	102684	                  Streptococcus infantarius
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	1310	                  Streptococcus sobrinus
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	400065	                  Streptococcus merionis
0.0004	5	0	0	0	3	0	0	0	0	0	2	0	G	1357	                Lactococcus
0.0003	4	3	0	0	2	2	0	0	0	0	2	1	S	1358	                  Lactococcus lactis
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S1	1360	                    Lactococcus lactis subsp. lactis
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	1363	                  Lactococcus garvieae
0.0001	1	0	0	0	1	0	0	0	0	0	0	0	G	1930830	                Floricoccus
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	1859475	                  Floricoccus penangensis
0.0007	9	0	0	0	1	0	0	0	0	0	8	0	F	81852	              Enterococcaceae
0.0006	8	1	0	0	1	1	0	0	0	0	7	0	G	1350	                Enterococcus
0.0002	3	3	0	0	0	0	0	0	0	0	3	3	S	1834193	                  Candidatus Enterococcus clewellii
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	S	1351	                  Enterococcus faecalis
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	1834192	                  Candidatus Enterococcus dunnyi
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	160453	                  Enterococcus gilvus
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	G	2737	                Vagococcus
0.0005	6	2	0	0	1	0	0	0	0	0	5	2	F	33958	              Lactobacillaceae
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	G	2767874	                Acetilactobacillus
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	1720083	                  Acetilactobacillus jinshanensis
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	G	2767887	                Ligilactobacillus
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	1624	                  Ligilactobacillus salivarius
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	G	3118928	                Xylocopilactobacillus
0.0001	1	0	0	0	1	0	0	0	0	0	0	0	G	1578	                Lactobacillus
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	147802	                  Lactobacillus iners
0.0221	282	8	1	0	8	0	245	0	1	0	27	8	O	1385	            Bacillales
0.0139	177	0	0	0	1	0	174	0	0	0	2	0	F	90964	              Staphylococcaceae
0.0139	177	0	0	0	1	0	174	0	0	0	2	0	G	1279	                Staphylococcus
0.0138	176	176	0	0	1	1	174	174	0	0	1	1	S	1280	                  Staphylococcus aureus
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	G1	2815305	                  Staphylococcus intermedius group
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	283734	                    Staphylococcus pseudintermedius
0.0056	71	0	0	0	0	0	68	0	0	0	3	0	F	186822	              Paenibacillaceae
0.0056	71	0	0	0	0	0	68	0	0	0	3	0	G	44249	                Paenibacillus
0.0038	48	48	0	0	0	0	48	48	0	0	0	0	S	2509456	                  Paenibacillus protaetiae
0.0013	16	16	0	0	0	0	16	16	0	0	0	0	S	1873425	                  Paenibacillus tritici
0.0003	4	0	0	0	0	0	4	0	0	0	0	0	G1	185978	                  unclassified Paenibacillus
0.0002	2	2	0	0	0	0	2	2	0	0	0	0	S	2859228	                    Paenibacillus sp. R14(2021)
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	S	1695218	                    Paenibacillus sp. 32O-W
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	S	1906272	                    Paenibacillus sp. JZ16
0.0002	2	2	0	0	0	0	0	0	0	0	2	2	S	61624	                  Paenibacillus mucilaginosus
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	1619311	                  Paenibacillus physcomitrellae
0.0018	23	2	1	0	6	1	1	0	1	0	14	1	F	186817	              Bacillaceae
0.0013	17	1	0	0	5	1	1	0	0	0	11	0	G	1386	                Bacillus
0.0006	8	0	0	0	3	0	1	0	0	0	4	0	G1	653685	                  Bacillus subtilis group
0.0004	5	0	0	0	2	0	1	0	0	0	2	0	G2	1938374	                    Bacillus amyloliquefaciens group
0.0003	4	4	0	0	1	1	1	1	0	0	2	2	S	492670	                      Bacillus velezensis
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	659243	                      Bacillus siamensis
0.0002	3	2	0	0	1	0	0	0	0	0	2	2	S	1423	                    Bacillus subtilis
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	135461	                      Bacillus subtilis subsp. subtilis
0.0004	5	0	0	0	0	0	0	0	0	0	5	0	G1	86661	                  Bacillus cereus group
0.0003	4	1	0	0	0	0	0	0	0	0	4	1	S	1392	                    Bacillus anthracis
0.0002	3	3	0	0	0	0	0	0	0	0	3	3	S1	1452727	                      Bacillus anthracis str. Turkey32
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	1396	                    Bacillus cereus
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	561879	                  Bacillus safensis
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	86663	                  Bacillus carboniphilus
0.0001	1	0	0	0	1	0	0	0	0	0	0	0	G1	185979	                  unclassified Bacillus (in: firmicutes)
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	467262	                    Bacillus sp. T3
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	G	2800373	                Priestia
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	S	1404	                  Priestia megaterium
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S1	1006007	                    Priestia megaterium WSH-002
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	G	2675230	                Cytobacillus
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	1399	                  Cytobacillus firmus
0.0001	1	0	0	0	0	0	0	0	1	0	0	0	G	45667	                Halobacillus
0.0001	1	1	0	0	0	0	0	0	1	1	0	0	S	554880	                  Halobacillus naozhouensis
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	G	400634	                Lysinibacillus
0.0002	2	0	0	0	0	0	2	0	0	0	0	0	F	186823	              Alicyclobacillaceae
0.0002	2	0	0	0	0	0	2	0	0	0	0	0	G	432330	                Tumebacillus
0.0002	2	2	0	0	0	0	2	2	0	0	0	0	S	1903704	                  Tumebacillus avium
0.0001	1	0	0	0	1	0	0	0	0	0	0	0	F	186820	              Listeriaceae
0.0001	1	0	0	0	1	0	0	0	0	0	0	0	G	1637	                Listeria
0.0001	1	0	0	0	1	0	0	0	0	0	0	0	S	1639	                  Listeria monocytogenes
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	1299895	                    Listeria monocytogenes CFSAN002349
0.0037	47	1	28	0	3	0	13	0	0	0	3	1	C	186801	          Clostridia
0.0034	43	0	27	0	3	0	12	0	0	0	1	0	O	186802	            Eubacteriales
0.0024	31	0	27	0	3	0	1	0	0	0	0	0	F	31979	              Clostridiaceae
0.0024	31	1	27	0	3	1	1	0	0	0	0	0	G	1485	                Clostridium
0.0021	27	27	27	27	0	0	0	0	0	0	0	0	S	1529	                  Clostridium cadaveris
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	S	1491	                  Clostridium botulinum
0.0001	1	0	0	0	1	0	0	0	0	0	0	0	S	1502	                  Clostridium perfringens
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S1	37763	                    Clostridium perfringens A
0.0001	1	1	0	0	1	1	0	0	0	0	0	0	S	1561	                  Clostridium baratii
0.0009	11	0	0	0	0	0	11	0	0	0	0	0	F	216572	              Oscillospiraceae
0.0009	11	0	0	0	0	0	11	0	0	0	0	0	G	292632	                Subdoligranulum
0.0009	11	0	0	0	0	0	11	0	0	0	0	0	G1	512297	                  environmental samples
0.0009	11	11	0	0	0	0	11	11	0	0	0	0	S	512298	                    uncultured Subdoligranulum sp.
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	F	186806	              Eubacteriaceae
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	G	1730	                Eubacterium
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	S	39496	                  Eubacterium ventriosum
0.0002	3	0	1	0	0	0	1	0	0	0	1	0	O	3085636	            Lachnospirales
0.0002	2	1	0	0	0	0	1	0	0	0	1	1	F	186803	              Lachnospiraceae
0.0001	1	0	0	0	0	0	1	0	0	0	0	0	G	2944198	                Wansuia
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	S	2763667	                  Wansuia hejianensis
0.0001	1	0	1	0	0	0	0	0	0	0	0	0	F	3118652	              Anaerotignaceae
0.0001	1	0	1	0	0	0	0	0	0	0	0	0	G	2039240	                Anaerotignum
0.0001	1	0	1	0	0	0	0	0	0	0	0	0	S	28446	                  Anaerotignum propionicum
0.0001	1	1	1	1	0	0	0	0	0	0	0	0	S1	991789	                    Anaerotignum propionicum DSM 1682
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	C	526524	          Erysipelotrichia
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	O	526525	            Erysipelotrichales
0.0001	1	0	0	0	0	0	0	0	0	0	1	0	F	128827	              Erysipelotrichaceae
0.0001	1	1	0	0	0	0	0	0	0	0	1	1	G	174708	                Allobaculum
0.4109	5242	7	0	0	3	0	5062	7	176	0	1	0	P	201174	        Actinomycetota
0.4099	5230	487	0	0	3	0	5050	487	176	0	1	0	C	1760	          Actinomycetes
0.1497	1910	48	0	0	0	0	1910	48	0	0	0	0	O	85006	            Micrococcales
0.1255	1601	81	0	0	0	0	1601	81	0	0	0	0	F	85023	              Microbacteriaceae
0.0743	948	205	0	0	0	0	948	205	0	0	0	0	G	33882	                Microbacterium
0.0448	572	8	0	0	0	0	572	8	0	0	0	0	G1	2609290	                  unclassified Microbacterium
0.0322	411	411	0	0	0	0	411	411	0	0	0	0	S	2014534	                    Microbacterium sp. PM5
0.0040	51	51	0	0	0	0	51	51	0	0	0	0	S	2567934	                    Microbacterium sp. 4R-513
0.0032	41	41	0	0	0	0	41	41	0	0	0	0	S	3142976	                    Microbacterium sp. AZCO
0.0024	30	30	0	0	0	0	30	30	0	0	0	0	S	1714373	                    Microbacterium sp. No. 7
0.0008	10	10	0	0	0	0	10	10	0	0	0	0	S	1906742	                    Microbacterium sp. BH-3-3-3
0.0003	4	4	0	0	0	0	4	4	0	0	0	0	S	3049071	                    Microbacterium sp. zg-Y625
0.0002	3	3	0	0	0	0	3	3	0	0	0	0	S	3132291	                    Microbacterium sp. 2P06AB
0.0002	2	2	0	0	0	0	2	2	0	0	0	0	S	2483401	                    Microbacterium sp. 10M-3C3
0.0002	2	2	0	0	0	0	2	2	0	0	0	0	S	2962064	                    Microbacterium sp. M28
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	S	3049069	                    Microbacterium sp. zg-B96
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	S	3049072	                    Microbacterium sp. zg-Y818
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	S	2268461	                    Microbacterium sp. ABRD28
0.0001	1	1	0	0	0	0	1	1	0	0	0	0	S	2995140	                    Microbacterium sp. SL75
